Time,T° Read 1:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
6:58:04,36.9,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.089,0.091,0.544,0.575,0.591,0.593,0.594,0.61,0.64,0.098,0.51,0.089,0.088,0.09,0.607,0.716,0.598,0.094,0.602,0.624,0.631,0.088,0.614,0.089,0.088,0.09,0.094,0.607,0.585,0.091,0.59,0.48,0.637,0.088,0.434,0.089,0.092,0.09,0.091,0.09,0.715,0.093,0.722,0.091,0.739,0.09,0.115,0.089,0.088,0.089,0.556,0.089,0.09,0.09,0.091,0.091,0.09,0.091,0.094,0.088,0.089,0.091,0.589,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.09,0.093,0.09,0.089
7:08:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.089,0.091,0.537,0.575,0.591,0.591,0.593,0.611,0.639,0.1,0.509,0.089,0.088,0.09,0.605,0.714,0.597,0.094,0.6,0.623,0.627,0.088,0.613,0.089,0.088,0.09,0.094,0.605,0.584,0.09,0.605,0.491,0.634,0.088,0.456,0.089,0.091,0.091,0.092,0.091,0.713,0.093,0.72,0.091,0.736,0.09,0.122,0.089,0.088,0.089,0.556,0.089,0.09,0.089,0.09,0.09,0.091,0.09,0.095,0.088,0.089,0.091,0.582,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.093,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.088,0.092,0.091,0.093,0.09,0.089
7:18:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.09,0.091,0.535,0.577,0.591,0.592,0.6,0.612,0.639,0.102,0.509,0.089,0.089,0.091,0.604,0.711,0.598,0.094,0.599,0.624,0.625,0.088,0.612,0.089,0.088,0.091,0.094,0.603,0.582,0.091,0.588,0.518,0.633,0.089,0.476,0.089,0.092,0.091,0.092,0.092,0.711,0.093,0.719,0.091,0.735,0.09,0.131,0.089,0.088,0.089,0.556,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.58,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.089,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
7:28:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.087,0.089,0.091,0.532,0.574,0.589,0.59,0.597,0.61,0.636,0.105,0.509,0.089,0.088,0.09,0.606,0.709,0.596,0.094,0.598,0.623,0.624,0.088,0.618,0.088,0.088,0.09,0.094,0.601,0.58,0.091,0.588,0.502,0.632,0.088,0.493,0.089,0.092,0.09,0.092,0.093,0.709,0.093,0.717,0.091,0.732,0.09,0.142,0.089,0.088,0.089,0.554,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.578,0.09,0.092,0.091,0.09,0.09,0.09,0.1,0.094,0.088,0.089,0.089,0.09,0.091,0.089,0.089,0.091,0.088,0.092,0.091,0.093,0.09,0.089
7:38:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.089,0.09,0.09,0.088,0.088,0.09,0.091,0.531,0.573,0.588,0.589,0.592,0.609,0.643,0.109,0.509,0.089,0.089,0.09,0.6,0.705,0.595,0.095,0.599,0.622,0.623,0.088,0.611,0.089,0.09,0.091,0.094,0.6,0.579,0.091,0.586,0.495,0.631,0.088,0.508,0.089,0.092,0.09,0.092,0.095,0.708,0.094,0.716,0.091,0.73,0.09,0.153,0.089,0.088,0.089,0.552,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.59,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.089,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.092,0.09,0.09
7:48:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.087,0.089,0.091,0.531,0.572,0.587,0.59,0.591,0.609,0.638,0.114,0.509,0.089,0.088,0.09,0.602,0.703,0.593,0.094,0.598,0.622,0.624,0.088,0.614,0.088,0.088,0.091,0.094,0.598,0.578,0.091,0.583,0.498,0.63,0.088,0.519,0.089,0.092,0.091,0.092,0.096,0.706,0.094,0.712,0.091,0.728,0.09,0.16,0.089,0.088,0.089,0.55,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.575,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.089,0.089,0.091,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
7:58:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.089,0.091,0.533,0.571,0.586,0.588,0.589,0.607,0.634,0.12,0.508,0.089,0.088,0.09,0.598,0.699,0.592,0.094,0.597,0.62,0.621,0.088,0.612,0.089,0.089,0.091,0.094,0.599,0.578,0.091,0.583,0.495,0.629,0.088,0.527,0.089,0.092,0.09,0.092,0.098,0.703,0.093,0.71,0.091,0.725,0.09,0.173,0.089,0.088,0.089,0.549,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.573,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.092,0.09,0.089
8:08:04,37,0.088,0.091,0.09,0.089,0.088,0.091,0.09,0.09,0.09,0.088,0.088,0.09,0.092,0.528,0.569,0.587,0.587,0.589,0.607,0.632,0.128,0.507,0.089,0.089,0.091,0.598,0.699,0.591,0.094,0.599,0.619,0.62,0.088,0.618,0.089,0.088,0.091,0.094,0.597,0.577,0.091,0.583,0.495,0.628,0.088,0.536,0.089,0.094,0.091,0.092,0.101,0.701,0.094,0.71,0.091,0.723,0.09,0.19,0.089,0.088,0.089,0.547,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.572,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.09
8:18:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.087,0.089,0.091,0.528,0.571,0.586,0.586,0.587,0.604,0.631,0.136,0.505,0.089,0.088,0.09,0.596,0.696,0.59,0.094,0.594,0.618,0.618,0.088,0.609,0.088,0.088,0.09,0.094,0.597,0.575,0.091,0.583,0.495,0.626,0.088,0.546,0.089,0.092,0.09,0.092,0.105,0.698,0.093,0.709,0.091,0.72,0.09,0.216,0.089,0.088,0.089,0.546,0.088,0.09,0.089,0.09,0.09,0.091,0.09,0.095,0.088,0.089,0.091,0.571,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.089,0.088,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.09,0.093,0.09,0.089
8:28:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.088,0.089,0.091,0.536,0.566,0.585,0.585,0.585,0.603,0.629,0.146,0.504,0.088,0.089,0.09,0.595,0.696,0.589,0.094,0.596,0.617,0.617,0.088,0.607,0.089,0.088,0.09,0.094,0.594,0.574,0.091,0.582,0.491,0.625,0.088,0.558,0.089,0.092,0.09,0.092,0.109,0.697,0.093,0.709,0.091,0.719,0.09,0.242,0.089,0.089,0.089,0.545,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.584,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.088,0.092,0.091,0.092,0.09,0.089
8:38:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.09,0.088,0.088,0.09,0.091,0.551,0.565,0.583,0.588,0.585,0.602,0.632,0.151,0.504,0.089,0.089,0.09,0.594,0.693,0.588,0.094,0.591,0.615,0.62,0.088,0.605,0.089,0.1,0.091,0.094,0.604,0.573,0.091,0.58,0.481,0.624,0.089,0.571,0.089,0.092,0.09,0.092,0.115,0.696,0.094,0.708,0.091,0.731,0.09,0.274,0.09,0.089,0.089,0.544,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.568,0.09,0.092,0.091,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
8:48:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.087,0.089,0.091,0.524,0.564,0.58,0.592,0.583,0.599,0.627,0.159,0.502,0.089,0.088,0.09,0.593,0.692,0.586,0.094,0.59,0.614,0.614,0.088,0.61,0.088,0.099,0.09,0.093,0.593,0.571,0.09,0.58,0.479,0.622,0.088,0.58,0.089,0.092,0.09,0.091,0.121,0.695,0.093,0.707,0.091,0.718,0.09,0.307,0.089,0.088,0.088,0.55,0.089,0.09,0.09,0.09,0.09,0.09,0.09,0.094,0.088,0.089,0.091,0.568,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.093,0.088,0.089,0.088,0.088,0.091,0.089,0.088,0.091,0.088,0.092,0.09,0.092,0.09,0.089
8:58:04,37,0.088,0.091,0.09,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.088,0.089,0.091,0.524,0.563,0.58,0.582,0.583,0.599,0.625,0.17,0.502,0.089,0.089,0.09,0.593,0.689,0.585,0.094,0.59,0.613,0.613,0.088,0.605,0.089,0.091,0.09,0.094,0.595,0.57,0.091,0.579,0.478,0.623,0.089,0.585,0.089,0.092,0.09,0.091,0.131,0.695,0.093,0.707,0.091,0.72,0.09,0.339,0.089,0.089,0.089,0.542,0.089,0.09,0.09,0.095,0.09,0.091,0.091,0.095,0.088,0.089,0.091,0.567,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.089,0.088,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.092,0.09,0.089
